2026-05-18 00:32:11,944 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-18 00:33:18,671 | INFO | pipeline.brute_force_workflow | Brute-force progress 1/198 | family=volume_confirmation | expression=rank(volume / ts_mean(volume, 3))
2026-05-18 00:33:19,980 | INFO | api_layer.session_manager | Authenticated with WorldQuant API.
2026-05-18 07:12:44,878 | INFO | pipeline.brute_force_workflow | Brute-force progress 10/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 3))
2026-05-18 07:13:04,981 | INFO | pipeline.brute_force_workflow | Brute-force progress 20/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 3))
2026-05-18 07:13:25,083 | INFO | pipeline.brute_force_workflow | Brute-force progress 30/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 3))
2026-05-18 07:13:45,201 | INFO | pipeline.brute_force_workflow | Brute-force progress 40/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 3))
2026-05-18 07:14:05,326 | INFO | pipeline.brute_force_workflow | Brute-force progress 50/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 3))
2026-05-18 07:14:25,474 | INFO | pipeline.brute_force_workflow | Brute-force progress 60/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 5))
2026-05-18 07:14:45,532 | INFO | pipeline.brute_force_workflow | Brute-force progress 70/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 5))
2026-05-18 07:15:05,572 | INFO | pipeline.brute_force_workflow | Brute-force progress 80/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 5))
2026-05-18 07:15:25,605 | INFO | pipeline.brute_force_workflow | Brute-force progress 90/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 5))
2026-05-18 07:15:45,707 | INFO | pipeline.brute_force_workflow | Brute-force progress 100/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 5))
2026-05-18 07:16:05,626 | INFO | pipeline.brute_force_workflow | Brute-force progress 110/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 5))
2026-05-18 07:16:25,753 | INFO | pipeline.brute_force_workflow | Brute-force progress 120/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 10))
2026-05-18 07:16:45,776 | INFO | pipeline.brute_force_workflow | Brute-force progress 130/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 10))
2026-05-18 07:17:05,809 | INFO | pipeline.brute_force_workflow | Brute-force progress 140/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 10))
2026-05-18 07:17:25,871 | INFO | pipeline.brute_force_workflow | Brute-force progress 150/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 10))
2026-05-18 07:17:46,037 | INFO | pipeline.brute_force_workflow | Brute-force progress 160/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 10))
2026-05-18 07:18:06,105 | INFO | pipeline.brute_force_workflow | Brute-force progress 170/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 10))
2026-05-18 07:18:26,173 | INFO | pipeline.brute_force_workflow | Brute-force progress 180/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 20))
2026-05-18 07:18:46,207 | INFO | pipeline.brute_force_workflow | Brute-force progress 190/198 | family=volume_confirmation | expression=rank(ts_corr(volume, returns, 20))
2026-05-18 07:19:02,264 | INFO | pipeline.brute_force_workflow | Brute-force progress 198/198 | family=return_persistence | expression=rank(ts_delta(close, 20) / ts_std_dev(close, 20))
2026-05-18 07:20:34,150 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
