2026-05-19 21:03:21,711 | INFO | root | Continuous 24/7 mode started. Sleeping 60 seconds between cycles.
2026-05-19 21:03:21,712 | INFO | root | === Continuous cycle started ===
2026-05-19 21:03:21,714 | INFO | root | Queued pipeline FIFO ticket 01779199401713842100_26172_4e7bb8b0efea46ad9d4b2f513d320852.ticket for continuous:momentum.
2026-05-19 21:03:21,716 | WARNING | root | Removing pipeline FIFO lock held by dead pid=11016.
2026-05-19 21:03:21,717 | WARNING | root | Removing stale pipeline FIFO lock at C:\Using\Alpha_Generator\runtime\pipeline_fifo\active.lock.
2026-05-19 21:03:21,719 | INFO | root | Acquired pipeline FIFO slot for continuous:momentum.
2026-05-19 21:03:23,994 | INFO | pipeline.alpha_pipeline | Running alpha pipeline for strategy=momentum count=3 run_id=pipeline-momentum-20260519140323-e83c475a
2026-05-19 21:03:34,150 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 21:03:40,350 | INFO | api_layer.session_manager | Dry-run mode enabled; skipping WorldQuant login.
2026-05-19 21:03:41,747 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=23179.
2026-05-19 21:04:52,403 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=3057.
2026-05-19 21:04:52,489 | INFO | orchestration.hermes_bridge | Hermes review started; stage=pre_simulation strategy=momentum expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:04:52,491 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5663.
2026-05-19 21:05:59,695 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=4483.
2026-05-19 21:05:59,696 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=pre_simulation verdict=PASS confidence=0.760 expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:05:59,696 | INFO | orchestration.deerflow_bridge | DeerFlow review started; stage=pre_simulation strategy=momentum expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:06:09,487 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 21:07:32,249 | INFO | orchestration.deerflow_bridge | DeerFlow review completed; stage=pre_simulation verdict=FAIL confidence=0.360 expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:07:32,255 | INFO | orchestration.hermes_bridge | Hermes review started; stage=post_simulation strategy=momentum expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:07:32,257 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5660.
2026-05-19 21:08:51,353 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=5603.
2026-05-19 21:08:51,353 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=post_simulation verdict=PASS confidence=0.840 expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:08:51,354 | INFO | orchestration.deerflow_bridge | DeerFlow review started; stage=post_simulation strategy=momentum expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:09:35,421 | INFO | orchestration.deerflow_bridge | DeerFlow review completed; stage=post_simulation verdict=PASS confidence=0.740 expression=rank(ts_delta(close, 20) / ts_std_dev(close, 60)) * rank(ts_corr(volume, returns, 20) - ts_corr(volume, returns, 5)).
2026-05-19 21:09:41,499 | INFO | pipeline.research.daily_researcher | Failure recovery research written to C:\Using\Alpha_Generator\knowledge_base\research_feeds\daily\failure_recovery\20260519_210935_momentum.md
2026-05-19 21:09:41,777 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=7514.
2026-05-19 21:10:31,527 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=2772.
2026-05-19 21:10:33,529 | INFO | orchestration.hermes_bridge | Hermes review started; stage=pre_simulation strategy=momentum expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:10:33,531 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5695.
2026-05-19 21:11:21,410 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=2723.
2026-05-19 21:11:21,411 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=pre_simulation verdict=WARN confidence=0.640 expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:11:21,412 | INFO | orchestration.deerflow_bridge | DeerFlow review started; stage=pre_simulation strategy=momentum expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:11:39,771 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 21:12:39,789 | INFO | orchestration.deerflow_bridge | DeerFlow review completed; stage=pre_simulation verdict=FAIL confidence=0.360 expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:12:39,799 | INFO | orchestration.hermes_bridge | Hermes review started; stage=post_simulation strategy=momentum expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:12:39,801 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5676.
2026-05-19 21:14:01,853 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=3811.
2026-05-19 21:14:01,854 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=post_simulation verdict=PASS confidence=0.760 expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:14:01,855 | INFO | orchestration.deerflow_bridge | DeerFlow review started; stage=post_simulation strategy=momentum expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:14:13,687 | WARNING | orchestration.deerflow_bridge | DeerFlow falling back to OpenRouter model openrouter/owl-alpha
2026-05-19 21:14:45,404 | INFO | orchestration.deerflow_bridge | DeerFlow review completed; stage=post_simulation verdict=PASS confidence=0.740 expression=rank(ts_mean(returns, 20) / ts_std_dev(returns, 60)) * rank(volume / ts_mean(volume, 20) - ts_mean(volume, 5) / ts_mean(volume, 60)).
2026-05-19 21:14:51,756 | INFO | pipeline.research.daily_researcher | Failure recovery research written to C:\Using\Alpha_Generator\knowledge_base\research_feeds\daily\failure_recovery\20260519_211445_momentum.md
2026-05-19 21:14:52,075 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=7498.
2026-05-19 21:15:32,127 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=1980.
2026-05-19 21:15:34,328 | INFO | orchestration.hermes_bridge | Hermes review started; stage=pre_simulation strategy=momentum expression=rank(ts_delta(close, 10) / ts_std_dev(close, 20)) * rank(ts_corr(volume, returns, 60)).
2026-05-19 21:15:34,329 | INFO | orchestration.hermes_bridge | Hermes prompt started; chars=5603.
2026-05-19 21:16:37,153 | INFO | orchestration.hermes_bridge | Hermes prompt completed; chars=3934.
2026-05-19 21:16:37,154 | INFO | orchestration.hermes_bridge | Hermes review completed; stage=pre_simulation verdict=PASS confidence=0.760 expression=rank(ts_delta(close, 10) / ts_std_dev(close, 20)) * rank(ts_corr(volume, returns, 60)).
