date,ticker,rank,composite_score,percentile,signal
2025-12-16,EOG,1,1.0,1.0,BUY
2025-12-16,UBER,2,0.9889,0.9889,BUY
2025-12-16,COST,3,0.9778,0.9778,BUY
2025-12-16,NVDA,4,0.9667,0.9667,BUY
2025-12-16,ETN,5,0.9556,0.9556,BUY
2025-12-16,MSFT,6,0.9444,0.9444,BUY
2025-12-16,IBM,7,0.9333,0.9333,BUY
2025-12-16,XOM,8,0.9222,0.9222,BUY
2025-12-16,CAT,9,0.9111,0.9111,BUY
2025-12-16,TMUS,10,0.8944,0.8944,BUY
2025-12-16,CSCO,10,0.8944,0.8944,BUY
2025-12-16,T,12,0.8778,0.8778,BUY
2025-12-16,GOOGL,13,0.8611,0.8611,BUY
2025-12-16,INTC,13,0.8611,0.8611,BUY
2025-12-16,AMD,15,0.8444,0.8444,BUY
2025-12-16,NFLX,16,0.8333,0.8333,BUY
2025-12-16,MDT,17,0.8167,0.8167,BUY
2025-12-16,AMZN,17,0.8167,0.8167,BUY
2025-12-16,PFE,19,0.8,0.8,BUY
2025-12-16,AAPL,20,0.7889,0.7889,BUY
2025-12-16,MMM,21,0.7778,0.7778,BUY
2025-12-16,MS,22,0.7667,0.7667,BUY
2025-12-16,CRM,23,0.7556,0.7556,BUY
2025-12-16,CVX,24,0.7444,0.7444,BUY
2025-12-16,TXN,25,0.7333,0.7333,BUY
2025-12-16,COP,26,0.7222,0.7222,BUY
2025-12-16,WMT,27,0.7111,0.7111,BUY
2025-12-16,BSX,28,0.7,0.7,BUY
2025-12-16,META,29,0.6889,0.6889,BUY
2025-12-16,GS,30,0.6778,0.6778,BUY
2025-12-16,BLK,31,0.6667,0.6667,BUY
2025-12-16,GILD,32,0.6556,0.6556,BUY
2025-12-16,SLB,33,0.6444,0.6444,BUY
2025-12-16,ABBV,34,0.6333,0.6333,BUY
2025-12-16,KO,35,0.6222,0.6222,BUY
2025-12-16,PYPL,36,0.6111,0.6111,BUY
2025-12-16,BA,37,0.6,0.6,BUY
2025-12-16,ADP,38,0.5889,0.5889,BUY
2025-12-16,VZ,39,0.5778,0.5778,BUY
2025-12-16,ISRG,40,0.5667,0.5667,BUY
2025-12-16,SYK,41,0.5556,0.5556,BUY
2025-12-16,DHR,42,0.5444,0.5444,BUY
2025-12-16,TMO,43,0.5333,0.5333,BUY
2025-12-16,C,44,0.5167,0.5167,BUY
2025-12-16,MRK,44,0.5167,0.5167,BUY
2025-12-16,MCD,46,0.5,0.5,BUY
2025-12-16,LOW,47,0.4833,0.4833,BUY
2025-12-16,LMT,47,0.4833,0.4833,BUY
2025-12-16,SCHW,49,0.4667,0.4667,BUY
2025-12-16,MRNA,50,0.4556,0.4556,BUY
2025-12-17,ETN,1,1.0,1.0,BUY
2025-12-17,CAT,2,0.9889,0.9889,BUY
2025-12-17,NVDA,3,0.9778,0.9778,BUY
2025-12-17,CSCO,4,0.9667,0.9667,BUY
2025-12-17,AMD,5,0.9556,0.9556,BUY
2025-12-17,AMZN,6,0.9444,0.9444,BUY
2025-12-17,GOOGL,7,0.9333,0.9333,BUY
2025-12-17,IBM,8,0.9222,0.9222,BUY
2025-12-17,INTC,9,0.9111,0.9111,BUY
2025-12-17,EOG,10,0.9,0.9,BUY
2025-12-17,PFE,11,0.8889,0.8889,BUY
2025-12-17,AAPL,12,0.8778,0.8778,BUY
2025-12-17,MMM,13,0.8667,0.8667,BUY
2025-12-17,TXN,14,0.8556,0.8556,BUY
2025-12-17,MDT,15,0.8389,0.8389,BUY
2025-12-17,MS,15,0.8389,0.8389,BUY
2025-12-17,UBER,17,0.8222,0.8222,BUY
2025-12-17,TMO,18,0.8111,0.8111,BUY
2025-12-17,COST,19,0.8,0.8,BUY
2025-12-17,DHR,20,0.7889,0.7889,BUY
2025-12-17,CVX,21,0.7778,0.7778,BUY
2025-12-17,GS,22,0.7667,0.7667,BUY
2025-12-17,SLB,23,0.7556,0.7556,BUY
2025-12-17,CRM,24,0.7444,0.7444,BUY
2025-12-17,NEE,25,0.7333,0.7333,BUY
2025-12-17,BLK,26,0.7222,0.7222,BUY
2025-12-17,XOM,27,0.7111,0.7111,BUY
2025-12-17,PYPL,28,0.7,0.7,BUY
2025-12-17,F,29,0.6889,0.6889,BUY
2025-12-17,T,30,0.6778,0.6778,BUY
2025-12-17,ABBV,31,0.6667,0.6667,BUY
2025-12-17,C,32,0.6556,0.6556,BUY
2025-12-17,DAL,33,0.6389,0.6389,BUY
2025-12-17,FDX,33,0.6389,0.6389,BUY
2025-12-17,MSFT,35,0.6167,0.6167,BUY
2025-12-17,PLD,35,0.6167,0.6167,BUY
2025-12-17,SYK,37,0.6,0.6,BUY
2025-12-17,META,38,0.5889,0.5889,BUY
2025-12-17,COP,39,0.5778,0.5778,BUY
2025-12-17,AXP,40,0.5667,0.5667,BUY
2025-12-17,GM,41,0.5556,0.5556,BUY
2025-12-17,RTX,42,0.5444,0.5444,BUY
2025-12-17,LOW,43,0.5333,0.5333,BUY
2025-12-17,GILD,44,0.5222,0.5222,BUY
2025-12-17,SCHW,45,0.5111,0.5111,BUY
2025-12-17,KO,46,0.5,0.5,BUY
2025-12-17,LMT,48,0.4778,0.4778,BUY
2025-12-17,PGR,48,0.4778,0.4778,BUY
2025-12-17,VRTX,48,0.4778,0.4778,BUY
2025-12-17,BAC,50,0.4556,0.4556,BUY
2025-12-18,CAT,1,1.0,1.0,BUY
2025-12-18,ETN,2,0.9889,0.9889,BUY
2025-12-18,MMM,3,0.9778,0.9778,BUY
2025-12-18,IBM,4,0.9667,0.9667,BUY
2025-12-18,GS,5,0.9556,0.9556,BUY
2025-12-18,MS,6,0.9444,0.9444,BUY
2025-12-18,EOG,7,0.9333,0.9333,BUY
2025-12-18,AMD,8,0.9222,0.9222,BUY
2025-12-18,NVDA,9,0.9111,0.9111,BUY
2025-12-18,PFE,10,0.9,0.9,BUY
2025-12-18,COST,11,0.8889,0.8889,BUY
2025-12-18,UBER,12,0.8778,0.8778,BUY
2025-12-18,CSCO,13,0.8667,0.8667,BUY
2025-12-18,BLK,14,0.8556,0.8556,BUY
2025-12-18,SLB,15,0.8389,0.8389,BUY
2025-12-18,PGR,15,0.8389,0.8389,BUY
2025-12-18,TMO,17,0.8222,0.8222,BUY
2025-12-18,DHR,18,0.8111,0.8111,BUY
2025-12-18,AAPL,19,0.8,0.8,BUY
2025-12-18,PYPL,20,0.7889,0.7889,BUY
2025-12-18,CVX,21,0.7778,0.7778,BUY
2025-12-18,INTC,22,0.7667,0.7667,BUY
2025-12-18,AXP,23,0.75,0.75,BUY
2025-12-18,GOOGL,23,0.75,0.75,BUY
2025-12-18,ELV,25,0.7333,0.7333,BUY
2025-12-18,ADP,26,0.7222,0.7222,BUY
2025-12-18,PLD,27,0.7111,0.7111,BUY
2025-12-18,F,28,0.7,0.7,BUY
2025-12-18,TXN,29,0.6889,0.6889,BUY
2025-12-18,XOM,30,0.6778,0.6778,BUY
2025-12-18,MDT,31,0.6667,0.6667,BUY
2025-12-18,JNJ,32,0.6556,0.6556,BUY
2025-12-18,JPM,33,0.6444,0.6444,BUY
